book	chapter	verse	title	body
1Chronicles	 		1Chronicles  :	
1Chronicles	11	1	1Chronicles 11:1	 以 色 列 眾 人 聚 集 到 希 伯 崙 見 大 衛 、 說 、 我 們 原 是 你 的 骨 肉 。 
1Chronicles	11	2	1Chronicles 11:2	 從 前 掃 羅 作 王 的 時 候 、 率 領 以 色 列 人 出 入 的 是 你 ． 耶 和 華 你 的 　 神 也 曾 應 許 你 說 、 你 必 牧 養 我 的 民 以 色 列 、 作 以 色 列 的 君 。 
1Chronicles	11	3	1Chronicles 11:3	 於 是 以 色 列 的 長 老 、 都 來 到 希 伯 崙 見 大 衛 王 ． 大 衛 在 希 伯 崙 耶 和 華 面 前 與 他 們 立 約 ． 他 們 就 膏 大 衛 作 以 色 列 的 王 、 是 照 耶 和 華 藉 撒 母 耳 所 說 的 話 。 
1Chronicles	11	4	1Chronicles 11:4	 大 衛 和 以 色 列 眾 人 到 了 耶 路 撒 冷 、 就 是 耶 布 斯 ． 那 時 耶 布 斯 人 住 在 那 裡 。 
1Chronicles	11	5	1Chronicles 11:5	 耶 布 斯 人 對 大 衛 說 、 你 決 不 能 進 這 地 方 。 然 而 大 衛 攻 取 錫 安 的 保 障 、 就 是 大 衛 的 城 。 
1Chronicles	11	6	1Chronicles 11:6	 大 衛 說 、 誰 先 攻 打 耶 布 斯 人 、 必 作 首 領 元 帥 。 洗 魯 雅 的 兒 子 約 押 先 上 去 、 就 作 了 元 帥 。 
1Chronicles	11	7	1Chronicles 11:7	 大 衛 住 在 保 障 裡 ． 所 以 那 保 障 叫 作 大 衛 城 。 
1Chronicles	11	8	1Chronicles 11:8	 大 衛 又 從 米 羅 起 、 四 圍 建 築 城 牆 、 其 餘 的 是 約 押 修 理 。 
1Chronicles	11	9	1Chronicles 11:9	 大 衛 日 見 強 盛 、 因 為 萬 軍 之 耶 和 華 與 他 同 在 。 
1Chronicles	11	10	1Chronicles 11:10	 以 下 記 錄 跟 隨 大 衛 勇 士 的 首 領 、 就 是 奮 勇 幫 助 他 得 國 、 照 著 耶 和 華 吩 咐 以 色 列 人 的 話 、 與 以 色 列 人 一 同 立 他 作 王 的 。 
1Chronicles	11	11	1Chronicles 11:11	 大 衛 勇 士 的 數 目 記 在 下 面 ． 哈 革 摩 尼 的 兒 子 雅 朔 班 、 他 是 軍 長 的 統 領 、 一 時 舉 槍 殺 了 三 百 人 。 
1Chronicles	11	12	1Chronicles 11:12	 其 次 是 亞 合 人 、 朵 多 的 兒 子 以 利 亞 撒 、 他 是 三 個 勇 士 裡 的 一 個 。 
