book	chapter	verse	title	body
1Corinthians	 		1Corinthians  :	
1Corinthians	11	1	1Corinthians 11:1	 你 們 該 效 法 我 、 像 我 效 法 基 督 一 樣 。 
1Corinthians	11	2	1Corinthians 11:2	 我 稱 讚 你 們 、 因 你 們 凡 事 記 念 我 、 又 堅 守 我 所 傳 給 你 們 的 。 
1Corinthians	11	3	1Corinthians 11:3	 我 願 意 你 們 知 道 、 基 督 是 各 人 的 頭 ． 男 人 是 女 人 的 頭 、 　 神 是 基 督 的 頭 。 
1Corinthians	11	4	1Corinthians 11:4	 凡 男 人 禱 告 或 是 講 道 、 〔 講 道 或 作 說 豫 言 下 同 〕 若 蒙 著 頭 、 就 羞 辱 自 己 的 頭 。 
1Corinthians	11	5	1Corinthians 11:5	 凡 女 人 禱 告 或 是 講 道 、 若 不 蒙 著 頭 、 就 是 羞 辱 自 己 的 頭 ． 因 為 這 就 如 同 剃 了 頭 髮 一 樣 。 
1Corinthians	11	6	1Corinthians 11:6	 女 人 若 不 蒙 著 頭 、 就 該 剪 了 頭 髮 ． 女 人 若 以 剪 髮 剃 髮 為 羞 愧 、 就 該 蒙 著 頭 。 
1Corinthians	11	7	1Corinthians 11:7	 男 人 本 不 該 蒙 著 頭 、 因 為 他 是 　 神 的 形 像 和 榮 耀 、 但 女 人 是 男 人 的 榮 耀 。 
1Corinthians	11	8	1Corinthians 11:8	 起 初 、 男 人 不 是 由 女 人 而 出 ． 女 人 乃 是 由 男 人 而 出 。 
1Corinthians	11	9	1Corinthians 11:9	 並 且 男 人 不 是 為 女 人 所 造 的 ． 女 人 乃 是 為 男 人 造 的 。 
1Corinthians	11	10	1Corinthians 11:10	 因 此 、 女 人 為 天 使 的 緣 故 、 應 當 在 頭 上 有 服 權 柄 的 記 號 。 
1Corinthians	11	11	1Corinthians 11:11	 然 而 照 主 的 安 排 、 女 也 不 無 男 、 男 也 不 是 無 女 。 
1Corinthians	11	12	1Corinthians 11:12	 因 為 女 人 原 是 由 男 人 而 出 、 男 人 也 由 女 人 而 出 ． 但 萬 有 都 是 出 乎 　 神 。 
1Corinthians	11	13	1Corinthians 11:13	 你 們 自 己 審 察 、 女 人 禱 告 　 神 、 不 蒙 著 頭 、 是 合 宜 的 麼 。 
1Corinthians	11	14	1Corinthians 11:14	 你 們 的 本 性 不 也 指 示 你 們 、 男 人 若 有 長 頭 髮 、 便 是 他 的 羞 辱 麼 。 
1Corinthians	11	15	1Corinthians 11:15	 但 女 人 有 長 頭 髮 、 乃 是 他 的 榮 耀 ． 因 為 這 頭 髮 是 給 他 作 蓋 頭 的 。 
