book	chapter	verse	title	body
Song of Songs	7	1	Song of Songs 7:1	 王 女 阿 、 你 的 腳 在 鞋 中 何 其 美 好 ． 你 的 大 腿 圓 潤 好 像 美 玉 、 是 巧 匠 的 手 作 成 的 。 
Song of Songs	7	2	Song of Songs 7:2	 你 的 肚 臍 如 圓 杯 不 缺 調 和 的 酒 ． 你 的 腰 如 一 堆 麥 子 、 周 圍 有 百 合 花 。 
Song of Songs	7	3	Song of Songs 7:3	 你 的 兩 乳 好 像 一 對 小 鹿 、 就 是 母 鹿 雙 生 的 。 
Song of Songs	7	4	Song of Songs 7:4	 你 的 頸 項 如 象 牙 臺 ． 你 的 眼 目 像 希 實 本 巴 特 拉 併 門 旁 的 水 池 ． 你 的 鼻 子 彷 彿 朝 大 馬 色 的 利 巴 嫩 塔 。 
Song of Songs	7	5	Song of Songs 7:5	 你 的 頭 在 你 身 上 好 像 迦 密 山 ． 你 頭 上 的 髮 是 紫 黑 色 ． 王 的 心 因 這 下 垂 的 髮 綹 繫 住 了 。 
Song of Songs	7	6	Song of Songs 7:6	 我 所 愛 的 、 你 何 其 美 好 ． 何 其 可 悅 。 使 人 歡 暢 喜 樂 ． 
Song of Songs	7	7	Song of Songs 7:7	 你 的 身 量 、 好 像 棕 樹 ． 你 的 兩 乳 如 同 其 上 的 果 子 、 纍 纍 下 垂 。 
Song of Songs	7	8	Song of Songs 7:8	 我 說 我 要 上 這 棕 樹 、 抓 住 枝 子 ． 願 你 的 兩 乳 、 好 像 葡 萄 纍 纍 下 垂 、 你 鼻 子 的 氣 味 香 如 蘋 果 、 
Song of Songs	7	9	Song of Songs 7:9	 你 的 口 如 上 好 的 酒 、 女 子 說 、 為 我 的 良 人 下 咽 舒 暢 、 流 入 睡 覺 人 的 嘴 中 。 
Song of Songs	7	10	Song of Songs 7:10	 我 屬 我 的 良 人 ． 他 也 戀 慕 我 。 
Song of Songs	7	11	Song of Songs 7:11	 我 的 良 人 、 來 罷 、 你 我 可 以 往 田 間 去 ． 你 我 可 以 在 村 莊 住 宿 。 
Song of Songs	7	12	Song of Songs 7:12	 我 們 早 晨 起 來 往 葡 萄 園 去 看 看 葡 萄 發 芽 開 花 沒 有 、 石 榴 放 蕊 沒 有 ． 我 在 那 裡 要 將 我 的 愛 情 給 你 。 
Song of Songs	7	13	Song of Songs 7:13	 風 茄 放 香 ． 在 我 們 的 門 內 有 各 樣 新 陳 佳 美 的 果 子 ． 我 的 良 人 、 這 都 是 我 為 你 存 留 的 。 
